,rmse,benefit,time,epsilon,feats
0,1.398555467817823,0.07039938611447871,4.261873960494995,1,"['f0_', 'f1_', 'f2_', 'f3_', 'DayLoc', 'Temperature', 'no2_daily_summary.csv-f0_', 'no2_daily_summary.csv-f2_', 'rh_and_dp_daily_summary.csv-o3_AQI']"
1,1.4487781159613629,0.020176737970938774,8.794105052947998,1.0,"['f0_', 'f1_', 'f2_', 'f3_', 'DayLoc', 'Temperature', 'voc_daily_summary.csv-f0_', 'o3_daily_summary.csv-f2_', 'o3_daily_summary.csv-f1_', 'wind_daily_summary.csv-o3_AQI']"
2,1.4355994216917618,0.03335543224053983,13.60453987121582,0.8576958985908941,"['f0_', 'f1_', 'f2_', 'f3_', 'DayLoc', 'Temperature', 'so2_daily_summary.csv-f0_', 'so2_daily_summary.csv-o3_AQI', 'pm10_daily_summary.csv-o3_AQI', 'so2_daily_summary.csv-f1_']"
3,1.3685667781078812,0.10038807582442044,20.222983837127686,0.7356422544596414,"['f0_', 'f1_', 'f2_', 'f3_', 'DayLoc', 'Temperature', 'so2_daily_summary.csv-f2_', 'wind_daily_summary.csv-f0_', 'wind_daily_summary.csv-f2_', 'wind_daily_summary.csv-f1_', 'so2_daily_summary.csv-f0_']"
4,1.42088505561069,0.04806979832161162,27.719471216201782,0.6309573444801932,"['f0_', 'f1_', 'f2_', 'f3_', 'DayLoc', 'Temperature', 'no2_daily_summary.csv-f1_', 'no2_daily_summary.csv-f0_']"
5,1.4321755464017678,0.03677930753053382,37.27039313316345,0.5411695265464637,"['f0_', 'f1_', 'f2_', 'f3_', 'DayLoc', 'Temperature', 'wind_daily_summary.csv-f0_', 'wind_daily_summary.csv-o3_AQI']"
6,1.4334608272989169,0.035494026633384745,45.9837760925293,0.4641588833612779,"['f0_', 'f1_', 'f2_', 'f3_', 'DayLoc', 'Temperature', 'so2_daily_summary.csv-f1_', 'pm10_daily_summary.csv-f2_', 'o3_daily_summary.csv-f1_', 'voc_daily_summary.csv-f1_']"
7,1.4556241679355681,0.013330685996733482,57.54337000846863,0.39810717055349726,"['f0_', 'f1_', 'f2_', 'f3_', 'DayLoc', 'Temperature', 'pressure_daily_summary.csv-o3_AQI', 'pressure_daily_summary.csv-f3_', 'no2_daily_summary.csv-f3_']"
8,1.3837377932519608,0.08521706068034085,65.88405299186707,0.34145488738336016,"['f0_', 'f1_', 'f2_', 'f3_', 'DayLoc', 'Temperature', 'rh_and_dp_daily_summary.csv-f1_', 'o3_daily_summary.csv-f2_', 'rh_and_dp_daily_summary.csv-f3_']"
9,1.4010794820419439,0.06787537189035775,75.17560005187988,0.2928644564625237,"['f0_', 'f1_', 'f2_', 'f3_', 'DayLoc', 'Temperature', 'wind_daily_summary.csv-f2_', 'voc_daily_summary.csv-f0_', 'so2_daily_summary.csv-f0_', 'wind_daily_summary.csv-f1_']"
10,1.450280715454243,0.018674138478058655,85.48904299736023,0.251188643150958,"['f0_', 'f1_', 'f2_', 'f3_', 'DayLoc', 'Temperature', 'wind_daily_summary.csv-o3_AQI', 'voc_daily_summary.csv-f1_', 'pressure_daily_summary.csv-o3_AQI']"
11,1.4581868013281074,0.010768052604194223,95.1424469947815,0.2154434690031884,"['f0_', 'f1_', 'f2_', 'f3_', 'DayLoc', 'Temperature', 'rh_and_dp_daily_summary.csv-f2_', 'pm25_frm_daily_summary.csv-o3_AQI', 'wind_daily_summary.csv-f1_']"
12,1.379712857651993,0.0892419962803086,105.46215295791626,0.1847849797422291,"['f0_', 'f1_', 'f2_', 'f3_', 'DayLoc', 'Temperature', 'no2_daily_summary.csv-f0_', 'voc_daily_summary.csv-f2_', 'voc_daily_summary.csv-o3_AQI', 'so2_daily_summary.csv-f1_']"
13,1.4483592502140843,0.020595603718217337,114.28600001335144,0.15848931924611137,"['f0_', 'f1_', 'f2_', 'f3_', 'DayLoc', 'Temperature', 'rh_and_dp_daily_summary.csv-f3_', 'o3_daily_summary.csv-f2_', 'o3_daily_summary.csv-f0_', 'o3_daily_summary.csv-o3_AQI']"
14,1.3882202037481093,0.08073465018419235,121.35659289360046,0.13593563908785258,"['f0_', 'f1_', 'f2_', 'f3_', 'DayLoc', 'Temperature', 'rh_and_dp_daily_summary.csv-f2_', 'wind_daily_summary.csv-f2_', 'wind_daily_summary.csv-f0_', 'wind_daily_summary.csv-f1_', 'rh_and_dp_daily_summary.csv-f3_']"
15,1.4035589662788128,0.0653958876534888,127.72612404823303,0.11659144011798318,"['f0_', 'f1_', 'f2_', 'f3_', 'DayLoc', 'Temperature', 'voc_daily_summary.csv-o3_AQI', 'pm10_daily_summary.csv-f2_', 'pm10_daily_summary.csv-f3_', 'pm25_frm_daily_summary.csv-f1_']"
16,1.381386629162594,0.0875682247697076,133.82070922851562,0.10000000000000002,"['f0_', 'f1_', 'f2_', 'f3_', 'DayLoc', 'Temperature', 'pm25_frm_daily_summary.csv-o3_AQI', 'pm25_frm_daily_summary.csv-f3_', 'pm25_frm_daily_summary.csv-f0_']"
17,1.4013540290984692,0.06760082483383245,142.33054208755493,0.08576958985908942,"['f0_', 'f1_', 'f2_', 'f3_', 'DayLoc', 'Temperature', 'wind_daily_summary.csv-f3_', 'pm10_daily_summary.csv-f3_', 'pressure_daily_summary.csv-o3_AQI']"
18,1.372010450562518,0.09694440336978372,150.6909351348877,0.07356422544596414,"['f0_', 'f1_', 'f2_', 'f3_', 'DayLoc', 'Temperature', 'rh_and_dp_daily_summary.csv-o3_AQI', 'rh_and_dp_daily_summary.csv-f1_', 'rh_and_dp_daily_summary.csv-f0_']"
19,1.43841195383359,0.030542900098711634,159.68059015274048,0.06309573444801933,"['f0_', 'f1_', 'f2_', 'f3_', 'DayLoc', 'Temperature', 'so2_daily_summary.csv-f1_', 'wind_daily_summary.csv-o3_AQI', 'wind_daily_summary.csv-f2_', 'so2_daily_summary.csv-o3_AQI', 'so2_daily_summary.csv-f0_']"
20,1.4106779036912855,0.05827695024101609,167.3300678730011,0.054116952654646375,"['f0_', 'f1_', 'f2_', 'f3_', 'DayLoc', 'Temperature', 'o3_daily_summary.csv-f0_', 'o3_daily_summary.csv-o3_AQI', 'o3_daily_summary.csv-f3_', 'so2_daily_summary.csv-f2_', 'wind_daily_summary.csv-o3_AQI']"
21,1.4373626567911493,0.031592197141152356,174.57956504821777,0.046415888336127795,"['f0_', 'f1_', 'f2_', 'f3_', 'DayLoc', 'Temperature', 'o3_daily_summary.csv-f2_', 'voc_daily_summary.csv-f3_', 'pressure_daily_summary.csv-f0_']"
22,1.3768626125385424,0.09209224139375927,180.8337380886078,0.039810717055349734,"['f0_', 'f1_', 'f2_', 'f3_', 'DayLoc', 'Temperature', 'rh_and_dp_daily_summary.csv-f3_', 'rh_and_dp_daily_summary.csv-f2_', 'pm10_daily_summary.csv-f2_']"
23,1.4554714147528964,0.013483439179405199,187.94895100593567,0.034145488738336026,"['f0_', 'f1_', 'f2_', 'f3_', 'DayLoc', 'Temperature', 'voc_daily_summary.csv-f0_', 'o3_daily_summary.csv-f1_', 'voc_daily_summary.csv-f1_', 'o3_daily_summary.csv-f3_', 'so2_daily_summary.csv-f0_']"
24,1.420325677791935,0.04862917614036655,198.94930005073547,0.029286445646252372,"['f0_', 'f1_', 'f2_', 'f3_', 'DayLoc', 'Temperature', 'pm10_daily_summary.csv-f0_', 'pm10_daily_summary.csv-f3_', 'pm25_frm_daily_summary.csv-f1_', 'rh_and_dp_daily_summary.csv-f0_', 'rh_and_dp_daily_summary.csv-f3_']"
25,1.370125075071827,0.09882977886047462,208.42997884750366,0.025118864315095805,"['f0_', 'f1_', 'f2_', 'f3_', 'DayLoc', 'Temperature', 'so2_daily_summary.csv-f1_', 'rh_and_dp_daily_summary.csv-f2_', 'so2_daily_summary.csv-f3_', 'rh_and_dp_daily_summary.csv-f1_', 'rh_and_dp_daily_summary.csv-o3_AQI']"
26,1.3953473542217252,0.07360749971057645,215.9866590499878,0.021544346900318843,"['f0_', 'f1_', 'f2_', 'f3_', 'DayLoc', 'Temperature', 'rh_and_dp_daily_summary.csv-o3_AQI', 'rh_and_dp_daily_summary.csv-f3_', 'voc_daily_summary.csv-o3_AQI', 'so2_daily_summary.csv-f2_']"
27,1.4457892032801634,0.02316565065213827,223.18233394622803,0.018478497974222914,"['f0_', 'f1_', 'f2_', 'f3_', 'DayLoc', 'Temperature', 'so2_daily_summary.csv-f0_', 'so2_daily_summary.csv-o3_AQI', 'no2_daily_summary.csv-f3_']"
28,1.4288457437651354,0.04010911016716623,229.1725471019745,0.015848931924611138,"['f0_', 'f1_', 'f2_', 'f3_', 'DayLoc', 'Temperature', 'wind_daily_summary.csv-f1_', 'voc_daily_summary.csv-f3_', 'wind_daily_summary.csv-o3_AQI']"
29,1.4215868698324055,0.04736798409989618,236.66719698905945,0.01359356390878526,"['f0_', 'f1_', 'f2_', 'f3_', 'DayLoc', 'Temperature', 'pm25_frm_daily_summary.csv-f3_', 'pm25_frm_daily_summary.csv-f1_', 'pm10_daily_summary.csv-o3_AQI', 'wind_daily_summary.csv-f0_']"
30,1.4443703966030568,0.024584457329244858,244.8504340648651,0.01165914401179832,"['f0_', 'f1_', 'f2_', 'f3_', 'DayLoc', 'Temperature', 'so2_daily_summary.csv-o3_AQI', 'wind_daily_summary.csv-f3_', 'voc_daily_summary.csv-f2_']"
31,1.428482984236792,0.04047186969550953,253.45901799201965,0.010000000000000002,"['f0_', 'f1_', 'f2_', 'f3_', 'DayLoc', 'Temperature', 'pm10_daily_summary.csv-f1_', 'pm10_daily_summary.csv-f3_', 'pm10_daily_summary.csv-f0_', 'so2_daily_summary.csv-f2_']"
32,1.4176508597989643,0.051303994133337305,268.7528519630432,0.008576958985908944,"['f0_', 'f1_', 'f2_', 'f3_', 'DayLoc', 'Temperature', 'no2_daily_summary.csv-f2_', 'no2_daily_summary.csv-o3_AQI', 'voc_daily_summary.csv-o3_AQI']"
33,1.4224252338955672,0.04652962003673444,276.71878695487976,0.007356422544596415,"['f0_', 'f1_', 'f2_', 'f3_', 'DayLoc', 'Temperature', 'no2_daily_summary.csv-f1_', 'pressure_daily_summary.csv-f3_', 'o3_daily_summary.csv-f1_', 'pm10_daily_summary.csv-f0_']"
34,1.4266164208386571,0.04233843309364449,283.27719712257385,0.006309573444801935,"['f0_', 'f1_', 'f2_', 'f3_', 'DayLoc', 'Temperature', 'no2_daily_summary.csv-o3_AQI', 'no2_daily_summary.csv-f0_', 'so2_daily_summary.csv-o3_AQI']"
35,1.4124639085786141,0.05649094535368748,290.2456519603729,0.005411695265464638,"['f0_', 'f1_', 'f2_', 'f3_', 'DayLoc', 'Temperature', 'rh_and_dp_daily_summary.csv-f1_', 'rh_and_dp_daily_summary.csv-f2_', 'rh_and_dp_daily_summary.csv-o3_AQI', 'pressure_daily_summary.csv-f0_']"
36,1.4627377247230924,0.006217129209209249,300.1669361591339,0.004641588833612781,"['f0_', 'f1_', 'f2_', 'f3_', 'DayLoc', 'Temperature', 'pressure_daily_summary.csv-f3_', 'pressure_daily_summary.csv-f2_', 'wind_daily_summary.csv-f0_', 'pressure_daily_summary.csv-o3_AQI']"
37,1.362401345191769,0.10655350874053271,307.1020119190216,0.003981071705534973,"['f0_', 'f1_', 'f2_', 'f3_', 'DayLoc', 'Temperature', 'no2_daily_summary.csv-o3_AQI', 'no2_daily_summary.csv-f1_', 'wind_daily_summary.csv-f0_', 'no2_daily_summary.csv-f0_', 'o3_daily_summary.csv-f0_']"
38,1.400221923505812,0.06873293042648965,313.4275839328766,0.0034145488738336026,"['f0_', 'f1_', 'f2_', 'f3_', 'DayLoc', 'Temperature', 'voc_daily_summary.csv-f0_', 'voc_daily_summary.csv-o3_AQI', 'so2_daily_summary.csv-f3_', 'pressure_daily_summary.csv-f1_']"
39,1.4119103116914569,0.057044542240844764,323.0624508857727,0.0029286445646252374,"['f0_', 'f1_', 'f2_', 'f3_', 'DayLoc', 'Temperature', 'pm10_daily_summary.csv-f2_', 'wind_daily_summary.csv-f2_', 'rh_and_dp_daily_summary.csv-f0_']"
40,1.4081538551937398,0.06080099873856182,329.15954399108887,0.002511886431509581,"['f0_', 'f1_', 'f2_', 'f3_', 'DayLoc', 'Temperature', 'pm25_frm_daily_summary.csv-f3_', 'pm10_daily_summary.csv-f2_', 'pm10_daily_summary.csv-f3_', 'so2_daily_summary.csv-f2_', 'pm10_daily_summary.csv-o3_AQI']"
41,1.4244763022026328,0.04447855172966886,337.85955715179443,0.0021544346900318843,"['f0_', 'f1_', 'f2_', 'f3_', 'DayLoc', 'Temperature', 'pressure_daily_summary.csv-f0_', 'pressure_daily_summary.csv-f3_', 'pm25_frm_daily_summary.csv-f1_']"
42,1.423975104078222,0.0449797498540796,344.69671607017517,0.0018478497974222915,"['f0_', 'f1_', 'f2_', 'f3_', 'DayLoc', 'Temperature', 'pm25_frm_daily_summary.csv-f3_', 'o3_daily_summary.csv-f1_', 'pm25_frm_daily_summary.csv-f2_', 'o3_daily_summary.csv-o3_AQI', 'o3_daily_summary.csv-f3_']"
43,1.422479032975435,0.04647582095686653,350.25718998908997,0.001584893192461114,"['f0_', 'f1_', 'f2_', 'f3_', 'DayLoc', 'Temperature', 'o3_daily_summary.csv-o3_AQI', 'pressure_daily_summary.csv-f2_', 'rh_and_dp_daily_summary.csv-f3_', 'pressure_daily_summary.csv-f1_']"
44,1.4274983784806223,0.0414564754516793,355.8574800491333,0.001359356390878526,"['f0_', 'f1_', 'f2_', 'f3_', 'DayLoc', 'Temperature', 'pressure_daily_summary.csv-f1_', 'pressure_daily_summary.csv-f0_', 'pm25_frm_daily_summary.csv-o3_AQI', 'pressure_daily_summary.csv-f2_']"
